,text
0,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Bayleef [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bayleef | Grass | 60 | 62 | 80 | 63 | 80 | 60 | Meganium | BAYLEEF’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy. The scent that wafts from the leaves on its neck causes anyone who smells it to become energetic. A BAYLEEF’s neck is ringed by curled-up leaves. Inside each leaf is a small tree shoot. The fragrance of this shoot makes people peppy. Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy. A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health. A spicy aroma ema­ nates from around its neck. The aroma acts as a stimulant to re­ store health. The buds that ring its neck give off a spicy aroma that perks people up. The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight. |"
1,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Spinarak, Azelf [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Spinarak | Bug, Poison | 40 | 60 | 40 | 40 | 40 | 30 | Ariados | It spins a web using fine--but durable-- thread. It then waits patiently for prey to be trapped. The web spun by SPINARAK can be considered its second nervous system. It is said that this POKéMON can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands. It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped. It waits intently until its preferred prey, Cutiefly, gets caught in its web. In fact, it’s quite a patient Pokémon. It spins a web using fine--but durable--thread. It then waits pa­ tiently for prey to be trapped. It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close. The web it spins can be considered its second nervous system. It is said that a SPINARAK determines its prey by the tiny vibrations it feels through the web. If prey becomes ensnared in its nest of spun string, it waits motionlessly until it becomes dark. With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them. Although the poison from its fangs isn’t that strong, it’s potent enough to weaken prey that gets caught in its web. The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands. It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive. Some fishermen weave its sturdy thread into nets to catch fish Pokémon. |
| Azelf | Psychic | 75 | 125 | 70 | 125 | 70 | 115 | None | It is thought that Uxie, Mesprit, and Azelf all came from the same egg. The dreaded Being of Willpower. Legends tell of this Pokémon manipulating the will of its adversaries and turning them into puppets of its own. When AZELF flew, people gained the determination to do things. It was the birth of willpower. This Pokémon is said to have endowed humans with the determination needed to face any of life’s difficulties. Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance. When Azelf flew, people gained the determination to do things. It was the birth of willpower. It is thought that UXIE, MESPRIT and AZELF all came from the same egg. |"
2,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Carkol, Fomantis, Scyther, Chandelure [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Carkol | Rock, Fire | 80 | 60 | 90 | 60 | 70 | 50 | Coalossal | It forms coal inside its body. Coal dropped by this Pokémon once helped fuel the lives of people in the Galar region. By rapidly rolling its legs, it can travel at over 18 mph. The temperature of the flames it breathes exceeds 1,800 degrees Fahrenheit. |
| Fomantis | Grass | 40 | 55 | 35 | 50 | 35 | 35 | Lurantis | When the sun rises, Fomantis spreads its four leaves and bathes in the sunlight. The tip of its head has a pleasant aroma. It loves the sunshine. When it basks in the sunlight regularly, it grows up with vivid coloration. During the day, Fomantis basks in sunlight and sleeps peacefully. It wakes and moves around at night. They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding. When bathed in sunlight, this Pokémon emits a pleasantly sweet scent, which causes bug Pokémon to gather around it. During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep. |
| Scyther | Bug, Flying | 70 | 110 | 80 | 55 | 80 | 105 | Scizor | It is nearly impossible to parry its attacking scythes. Its movements are like a ninja’s. Some call it a ninja. Its movements— imperceptibly quick—are sufficient to cleave the air in two. It’s very popular in Alola. It tears and shreds prey with its wickedly sharp scythes. It very rarely spreads its wings to fly. If you come across an area in a forest where a lot of the trees have been cut down, what you’ve found is a Scyther’s territory. With ninja-like agility and speed, it can create the illusion that there is more than one of itself. Leaps out of tall grass and slices prey with its scythes. The move­ ment looks like that of a ninja. The sharp scythes on its forearms become increasingly sharp by cutting through hard objects. Scyther is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This Pokémon’s scythes are so effective, they can slice through thick logs in one wicked stroke. It slashes through grass with its sharp scythes, moving too fast for the human eye to track. The large, wickedly sharp scythes on its forearms are truly fearsome weapons. Prey's attempts to flee are unfailingly thwarted by this Pokémon's nimble motions. As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree. When it moves, it leaves only a blur. If it hides in grass, its pro­ tective colors make it invisible. When it moves, it leaves only a blur. If it hides in grass, its protective coloration makes it invisible. SCYTHER is blindingly fast. Its blazing speed enhances the effectiveness of the twin scythes on its forearms. This POKéMON’s scythes are so effective, they can slice through thick logs in one wicked stroke. Its two sharp scythes are more than just weapons. It uses them with dexterity to dress its prey before eating. Its blindingly fast speed adds to the sharpness of its twin forearm scythes. The scythes can slice through thick logs in one wicked stroke. It confuses its prey with its quick, ninja-like movements. Then, in an instant, it cleaves them with its scythes. While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds. With ninja-like agility and speed, it can create the illusion that there is more than one. Leaps out of tall grass and slices prey with its scythes. The movement looks like that of a ninja. It's very proud of its speed. It moves so fast that its opponent does not even know what knocked it down. |
| Chandelure | Ghost, Fire | 60 | 55 | 90 | 145 | 90 | 80 | None | The spirits burned up in its ominous flame lose their way and wander this world forever. In homes illuminated by Chandelure instead of lights, funerals were a constant occurrence— or so it’s said. Being consumed in Chandelure’s flame burns up the spirit, leaving the body behind. This Pokémon haunts dilapidated mansions. It sways its arms to hypnotize opponents with the ominous dancing of its flames. It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance. |"
3,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Zoroark, Malamar, Wigglytuff, Blaziken [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Zoroark | Dark | 60 | 105 | 60 | 120 | 60 | 105 | None | Seeking to ease the burden of their solitude, lonely Trainers tell Zoroark to show illusions to them. It doesn’t just transform itself—it also has the power to make hundreds of people see its illusions. If it thinks humans are going to discover its den, Zoroark shows them visions that make them wander around in the woods. Each has the ability to fool a large group of people simultaneously. They protect their lair with illusory scenery. Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents. This Pokémon cares deeply about others of its kind, and it will conjure terrifying illusions to keep its den and pack safe. Stories say those who tried to catch Zoroark were trapped in an illusion and punished. With its disheveled white fur, it looks like an embodiment of death. Heedless of its own safety, Zoroark attacks its nemeses with a bitter energy so intense, it lacerates Zoroark's own body. |
| Malamar | Dark, Psychic | 86 | 92 | 88 | 68 | 75 | 73 | None | It lures its prey close with hypnotic motions, then wraps its tentacles around it before finishing it off with digestive fluids. It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants. It flashes the pattern on its torso to control its prey and draw them in. The edges of its fins are supremely sharp. It’s said that Malamar’s hypnotic powers played a role in certain history-changing events. Gazing at its luminescent spots will quickly induce a hypnotic state, putting the observer under Malamar’s control. When it comes to strong hypnosis, there’s an endless number of people who utilize Malamar for their nefarious deeds. |
| Wigglytuff | Normal, Fairy | 140 | 70 | 45 | 85 | 50 | 45 | None | The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size. It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a BODY SLAM. Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon’s eyes, it is quickly washed away. WIGGLYTUFF has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this POKéMON’s eyes, it is quickly washed away. The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them. WIGGLYTUFF’s body is very flexible. By inhaling deeply, this POKéMON can inflate itself seemingly without end. Once inflated, WIGGLYTUFF bounces along lightly like a balloon. Its fur is the ultimate in luxuriousness. Sleeping alongside a WIGGLYTUFF is simply divine. Its body expands seemingly without end when it inhales. Their fur feels so good that if two of them snuggle together, they won’t want to be separated. As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most. Thanks to its bouncy body and fine fur, this Pokémon is sought after. Holding one in your arms while you sleep feels great. Its fur is extremely fine, dense, and supple. The exquisitely pleasant fur conveys an image of luxury. The rich, fluffy fur that covers its body feels so good that anyone who feels it can't stop touching it. It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly. Its body is very elastic. By inhaling deeply, it can continue to inflate itself without limit. Its fine fur feels so pleasant, those who accidentally touch it cannot take their hands away. Their fur feels so good that if two of them snuggle together, they won't want to be separated. Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon. Its body is full of elasticity. By inhaling deeply, it can continue to inflate itself without limit. Its fine fur feels sublime to the touch. It can expand its body by inhaling air. When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger! It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn. It has a very fine fur. Take care not to make it angry, or it may inflate steadily and hit with a body slam. |
| Blaziken | Fire, Fighting | 80 | 120 | 70 | 110 | 70 | 80 | None | In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon’s wrists burn. Flames spout from its wrists, enveloping its knuckles. Its punches scorch its foes. BLAZIKEN has incredibly strong legs - it can easily clear a 30-story building in one leap. This POKéMON’s blazing punches leave its foes scorched and blackened. It can clear a 30-story building in a leap. Its fiery punches scorch its foes. Blaziken has incredibly strong legs—it can easily clear a 30-story building in one leap. This Pokémon’s blazing punches leave its foes scorched and blackened. When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings. It learns martial arts that use punches and kicks. Every several years, its old feathers burn off, and new, supple feathers grow back in their place. In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn. |"
4,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Turtwig, Unown, Carbink [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Turtwig | Grass | 55 | 68 | 64 | 45 | 55 | 31 | Grotle | The shell on its back is made of soil. On a very healthy TURTWIG, the shell should feel moist. It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty. This Pokémon becomes more energetic the more sunlight there is. The part resembling a shell is similar to silt and is slightly damp and warm to the touch. Photosynthesis occurs across its body under the sun. The shell on its back is actually hardened soil. The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist. Made from soil, the shell on its back hardens when it drinks water. It lives along lakes. |
| Unown | Psychic | 48 | 72 | 48 | 72 | 48 | 48 | None | Its flat, thin body is always stuck on walls. Its shape appears to have some mean­ ing. Shaped like ancient writing, it is a huge mystery whether language or Unown came first. It is hard to believe these strangely shaped Pokémon are truly living creatures. I've pointed out that the species' many forms resemble writing from other lands; no one will take me seriously. When alone, nothing happens. However, if there are two or more, an odd power is said to emerge. Their shapes look like hieroglyphs on ancient tablets. It is said that the two are somehow related. They seem to communicate among each other telepathically. They are always found stuck on walls. This POKéMON is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various UNOWN. Research into this topic is ongoing but nothing is known. Because different types of UNOWN exist, it is said that they must have a variety of abilities. This POKéMON is shaped like ancient text characters. Although research is ongoing, it is a mystery as to which came first, the ancient writings or the various UNOWN. Its flat, thin body is always stuck on walls. Its shape appears to have some meaning. Their shapes look like hieroglyphs on ancient tab­ lets. It is said that the two are somehow related. Shaped like ancient writing, it is a huge mystery whether language or UNOWN came first. This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known. |
| Carbink | Rock, Fairy | 50 | 50 | 150 | 50 | 150 | 50 | None | It’s said that somewhere in the world, there’s a mineral vein housing a large pack of slumbering Carbink. It’s also said that this pack has a queen. It has slept underground for hundreds of millions of years since its birth. It’s occasionally found during the excavation of caves. Born from the temperatures and pressures deep underground, it fires beams from the stone in its head. To keep the jewels on their bodies free of tarnish, packs of Carbink use their soft manes to polish one another’s jewels. Born from the high temperatures and pressures deep underground, it defends itself by firing beams from the jewel part of its body. When beset by attackers, Carbink wipes them all out by firing high-energy beams from the gems embedded in its body. Although this Pokémon is not especially rare, its glittering, jewel-draped body draws attention from people. Some say that deep beneath the surface of the world, a pack of Carbink live with their queen in a kingdom of jewels. |"
5,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Cascoon, Frogadier [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Cascoon | Bug | 50 | 35 | 55 | 25 | 25 | 15 | None | If it is attacked, CASCOON remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This POKéMON will also not forget the pain it endured. It is hot inside its cocoon. All the cells in its body create the energy for it to evolve. Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon. CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon. To avoid detection by its enemies, it hides motionlessly beneath large leaves and in the gaps of branches. It also attaches dead leaves to its body for camouflage. The silk coating its body is thin but sufficiently strong. Cascoon's silk has a luster and texture superior to that of Silcoon's, and clothes made using Cascoon silk are regarded as top-notch. If it is attacked, Cascoon remains motionless however badly it may be hurt. It does so because if it were to move, its body would be weak upon evolution. This Pokémon will also not forget the pain it endured. Encased within its tough cocoon, it endures attacks. It never forgets the appearance of its foes. It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback. Its body, which is made of soft silk, hardens over time. When cracks appear, evolution is near. It endures attacks with patience, because the more pain before evolution, the sturdier it becomes. |
| Frogadier | Water | 54 | 63 | 52 | 83 | 56 | 97 | Greninja | Its swiftness is unparalleled. It can scale a tower of more than 2,000 feet in a minute’s time. It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away. |"
6,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Polteageist, Numel, Clawitzer, Hoopa [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Polteageist | Ghost | 60 | 65 | 65 | 134 | 114 | 70 | None | This species lives in antique teapots. Most pots are forgeries, but on rare occasions, an authentic work is found. Leaving leftover black tea unattended is asking for this Pokémon to come along and pour itself into it, turning the tea into a new Polteageist. |
| Numel | Fire, Ground | 60 | 60 | 40 | 65 | 45 | 35 | Camerupt | A NUMEL stores boiling magma in the hump on its back. It is a hardy POKéMON that can transport a 220-pound load. It has served humans at work since long ago. Numel is extremely dull witted—it doesn’t notice being hit. However, it can’t stand hunger for even a second. This Pokémon’s body is a seething cauldron of boiling magma. Magma of almost 2,200 degrees Fahrenheit courses through its body. When it grows cold, the magma hardens and slows it. The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves. Numel stores magma of almost 2,200 degrees Fahrenheit within its body. If it gets wet, the magma cools and hardens. In that event, the Pokémon’s body grows heavy and its movements become sluggish. Its humped back stores intensely hot magma. In rain, the magma cools, slowing its movement. NUMEL stores magma of almost 2,200 degrees F within its body. If it gets wet, the magma cools and hardens. In that event, the POKéMON’s body grows heavy and its movements become sluggish. The magma in its body reaches 2,200 degrees F. Its hump gets smaller when it uses Fire-type moves. The flaming magma it stores in the hump on its back is the source of its tremendous power. NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma. |
| Clawitzer | Water | 71 | 73 | 88 | 120 | 89 | 59 | None | By expelling water from the nozzle in the back of its claw, it can move at a speed of 60 knots. Clawitzer’s right arm is a cannon that launches projectiles made of seawater. Shots from a Clawitzer’s cannon arm can sink a tanker. Its right arm is packed with meat. When its pincer falls off, it’s exported to be used as a cooking ingredient. Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls. After using the feelers on its oversized claw to detect the location of prey, Clawitzer launches a cannonball of water at its target. It compresses the water it has sucked up and then projects it with enough power to punch a hole right through a thick sheet of iron. |
| Hoopa | Psychic, Ghost | 80 | 110 | 60 | 150 | 130 | 70 | None | It is said to be able to seize anything it desires with its six rings and six huge arms. With its power sealed, it is transformed into a much smaller form. It gathers things it likes and passes them through its loop to teleport them to a secret place. In its true form, it possess a huge amount of power. Legends of its avarice tell how it once carried off an entire castle to gain the treasure hidden within. This troublemaker sends anything and everything to faraway places using its loop, which can warp space. |"
7,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Minccino, Diancie, Skitty [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Minccino | Normal | 55 | 50 | 40 | 40 | 40 | 75 | Cinccino | Minccino greet each other by grooming one another thoroughly with their tails. When its tail has gotten dirty from self-cleaning or from cleaning its nest, Minccino spends a whole day washing its tail in clean spring water. The way it brushes away grime with its tail can be helpful when cleaning. But its focus on spotlessness can make cleaning more of a hassle. These Pokémon prefer a tidy habitat. They are always sweeping and dusting, using their tails as brooms. They greet one another by rubbing each other with their tails, which are always kept well groomed and clean. They pet each other with their tails as a form of greeting. Of the two, the one whose tail is fluffier is a bit more boastful. A clean freak that will not allow even the slightest mess, it uses its tail like a mop to thoroughly clean any and all filth. |
| Diancie | Rock, Fairy | 50 | 100 | 150 | 100 | 150 | 50 | None | A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world. It can instantly create many diamonds by compressing the carbon in the air between its hands. |
| Skitty | Normal | 50 | 45 | 45 | 35 | 35 | 50 | Delcatty | Skitty is known to chase around playfully after its own tail. In the wild, this Pokémon lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks. It shows its cute side by chasing its own tail until it gets dizzy. It can’t stop itself from chasing moving things, and it runs in a circle, chasing its own tail. It’s adorable when it chases its own tail. It’s difficult to earn its trust. Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy. It is said to be difficult to earn its trust. However, it is extremely popular for its cute looks and behavior. SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy. SKITTY is known to chase around playfully after its own tail. In the wild, this POKéMON lives in holes in the trees of forests. It is very popular as a pet because of its adorable looks. A SKITTY’s adorably cute behavior makes it highly popular. In battle, it makes its tail puff out. It threatens foes with a sharp growl. |"
8,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Stufful, Dachsbun, Wailord [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Stufful | Normal, Fighting | 70 | 75 | 50 | 45 | 50 | 50 | Bewear | It boasts power enough to split large trees in half. The organ on its rear releases an odor that it uses to communicate with others of its kind. Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling. Its fluffy fur is a delight to pet, but carelessly reaching out to touch this Pokémon could result in painful retaliation. A touch from anyone except a known friend sends it into a surging frenzy. It’s an incredibly dangerous Pokémon. The way it protects itself by flailing its arms may be an adorable sight, but stay well away. This is flailing that can snap thick tree trunks. Stufful hates to be hugged or touched in any way. It will squirm, thrash, and resist with amazing power. |
| Dachsbun | Fairy | 57 | 80 | 115 | 50 | 80 | 95 | None | The pleasant aroma that emanates from this Pokémon’s body helps wheat grow, so Dachsbun has been treasured by farming villages. The surface of this Pokémon’s skin hardens when exposed to intense heat, and its body has an appetizing aroma. |
| Wailord | Water | 170 | 90 | 45 | 90 | 45 | 60 | None | It is the largest of all identified Pokémon. They jump as a pack to herd their prey. When a small Wailmer is attacked by Sharpedo or Dhelmise, its whole pod works together to protect it. WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth. It breathes through nostrils that it raises above the sea. By inhaling to its maximum capacity, a WAILORD can dive close to 10,000 feet beneath the waves. Its immense size is the reason for its popularity. Wailord watching is a favorite sightseeing activity in various parts of the world. When chasing prey, Wailord herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this Pokémon leaping out of the sea with others in its pod. When chasing prey, WAILORD herds them by leaping out of the water and making a humongous splash. It is breathtaking to see this POKéMON leaping out of the sea with others in its pod. They eat so many fish Pokémon that when Wailord become too numerous, fishermen have to chase them off. Wailord pursue their prey in pods. With their large mouths, they can swallow entire schools of Wishiwashi whole. It is among the largest of all POKéMON. It herds prey in a pack then swallows the massed prey in one gulp. The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath. Wailord is the largest of all identified Pokémon up to now. This giant Pokémon swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth. It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water. |"
9,"[INST] <<SYS>>
Given a list of Pokémon names, write a table with these headers:
headers = [""Pokémon"", ""Type"", ""HP"", ""Attack"", ""Defense"", ""Special Attack"", ""Special Defense"", ""Speed"", ""Evolution"", ""Description""]
<</SYS>>

Metagross, Barbaracle, Meganium [/INST] | Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Metagross | Steel, Psychic | 80 | 135 | 130 | 95 | 90 | 70 | None | It is formed by two METANG fusing. Its four brains are said to be superior to a supercomputer. It folds its four legs when flying. Its four brains are said to be superior to a supercomputer. METANG combined to form it. With four brains, it has the intelligence of a supercomputer. Metagross has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This Pokémon can float in the air by tucking in its four legs. It boasts not only psychic powers but also fantastic strength. It grabs its prey with its four legs and holds them in place with its claws. Metang combined to form it. With four brains, it has the intelligence of a supercomputer. With four linked brains, it’s more intelligent than a supercomputer, and it uses calculations to analyze foes. Metagross is the result of the fusion of two Metang. This Pokémon defeats its opponents through use of its supercomputer-level brain. A linkage of two Metang, this Pokémon can perform any calculation in a flash by utilizing parallel processing in its four brains. It analyzes its opponents with more accuracy than a supercomputer, which enables it to calmly back them into a corner. Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy. METAGROSS is the result of two METANG achieving fusion. When hunting, this POKéMON pins the prey to the ground under its massive body. It then eats the helpless victim using the large  mouth on its stomach. METAGROSS has four brains that are joined by a complex neural network. As a result of integration, this POKéMON is smarter than a supercomputer. METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs. Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach. It firmly pins its prey using its four claws and large body. Then the teeth in the mouth on its stomach chew the prey to bits. |
| Barbaracle | Rock, Water | 72 | 105 | 115 | 54 | 86 | 68 | None | When they evolve, two Binacle multiply into seven. They fight with the power of seven Binacle. Having an eye on each palm allows it to keep watch in all directions. In a pinch, its limbs start to act on their own to ensure the enemy’s defeat. Seven Binacle come together to form one Barbaracle. The Binacle that serves as the head gives orders to those serving as the limbs. Barbaracle’s legs and hands have minds of their own, and they will move independently. But they usually follow the head’s orders. |
| Meganium | Grass | 80 | 82 | 100 | 83 | 100 | 80 | None | The aroma that rises from its petals contains a substance that calms aggressive feelings. The fragrance of a MEGANIUM’s flower soothes and calms emotions. In battle, it gives off more of its becalming scent to blunt the foe’s fighting spirit. The fragrance of MEGANIUM’s flower soothes and calms emotions. In battle, this POKéMON gives off more of its becalming scent to blunt the foe’s fighting spirit. Its breath has the fantastic ability to revive dead plants and flowers. Anyone who stands beside it becomes refreshed, just as if they were relaxing in a sunny forest. MEGANIUM's breath has the power to revive dead grass and plants. It can make them healthy again. The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit. MEGANIUM’s breath has the power to revive dead grass and plants. It can make them healthy again. Meganium’s breath has the power to revive dead grass and plants. It can make them healthy again. |"
